"Order Line/Order Reference","Order Line/Product","Order Line/Unit Price","Order Line/Quantity","Order Line/Received Qty","Order Line/Subtotal","Order Line/Confirmed Date","Order Line/Expected Arrival Time","Order Line/Partner","Order Line/Company","Order Line/Created By","Order Line/Status","Order Line/Order Reference/Actual Ship Date"
"CAP26098531","[FA48131] WEIFENG Corn Frozen Pastries&Pancakes&Baked Pancakes 30bags*70g","26.54","1.0","0.0","26.54","2026-09-21 11:06:38","2026-11-17 11:06:38","Qinglan Foods USA Inc","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098531","[A59240] XIANYOU Beef Ready-to-Drink Tea 20btls*480ml","14.88","4.0","0.0","59.52","2026-09-21 11:06:38","2026-11-17 11:06:38","Qinglan Foods USA Inc","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098531","[FA72146] WEIFENG Honey Frozen Pastries&Pancakes&Baked Pancakes 20bags*200g","40.05","2.0","0.0","80.1","2026-09-21 11:06:38","2026-11-17 11:06:38","Qinglan Foods USA Inc","Crestline Pacific Inc","Lina Hua","purchase",""
"NJP26098236","[A09275] LIANGYUE Pineapple Coconut Milk 15btls*480ml","12.04","4.0","0.0","48.16","2026-09-21 09:42:31","2026-11-25 09:42:31","Yuhua Foods USA Inc","Crestline New Jersey Inc","Nora Sun","purchase",""
"NJP26098236","[VSC33186] Luxi Milk Skin Care 250ml","6.3","595.0","0.0","3748.5","2026-09-21 09:42:31","2026-11-25 09:42:31","Yuhua Foods USA Inc","Crestline New Jersey Inc","Nora Sun","purchase",""
"TXP26098333","[B46334] SHANBAO Jujube Puffed Snacks 12bags*200g","15.64","1.0","0.0","15.64","2026-09-20 18:48:24","2026-10-04 18:48:24","Sakura Rising Sun Imports Inc.","Crestline Houston Inc","JIE FAN","purchase",""
"TXP26098333","[VCA48180] BAOXI Garlic Fashion Jewelry 200ml","7.08","10.0","0.0","","2026-09-20 18:48:24","2026-10-04 18:48:24","Sakura Rising Sun Imports Inc.","Crestline Houston Inc","JIE FAN","purchase",""
"TXP26098333","[VHK62378] BAOXI Pickled Vegetable Home Cleaning 500ml","2.76","32.0","0.0","88.32","2026-09-20 18:48:24","2026-10-04 18:48:24","Sakura Rising Sun Imports Inc.","Crestline Houston Inc","JIE FAN","purchase",""
"TXP26098333","[VHS61142] BAOXI Strawberry Health & Nutrition Drinks 250ml","19.92","14.0","0.0","","2026-09-20 18:48:24","2026-10-04 18:48:24","Sakura Rising Sun Imports Inc.","Crestline Houston Inc","JIE FAN","purchase",""
"NJP26098215","[VHB43208] BAOXI Seafood Hair 30bags*500g","5.18","14.0","0.0","72.52","2026-09-20 18:24:06","2026-10-04 18:24:06","Sakura Rising Sun Imports Inc.","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"NJP26098215","[VHS61142] BAOXI Strawberry Health & Nutrition Drinks 250ml","20.8","227.0","0.0","4721.6","2026-09-20 18:24:06","2026-10-04 18:24:06","Sakura Rising Sun Imports Inc.","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"NJP26098215","[B46334] SHANBAO Jujube Puffed Snacks 12bags*200g","16.47","23.0","0.0","378.81","2026-09-20 18:24:06","2026-10-04 18:24:06","Sakura Rising Sun Imports Inc.","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"NJP26098215","[VCA48180] BAOXI Garlic Fashion Jewelry 200ml","7.42","7.0","0.0","51.94","2026-09-20 18:24:06","2026-10-04 18:24:06","Sakura Rising Sun Imports Inc.","Crestline New Jersey Inc","Xin Zhu (Leo)","purchase",""
"NWP26098298","[G96120] CHUANRUI Strawberry Dipping Sauce 6bags*500g","14.67","1.0","0.0","14.67","2026-09-20 09:56:28","2026-09-25 09:56:28","Blue Bay Harvest Imports Inc.","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"NWP26098298","[G30355] Jinrun Osmanthus Canned Seafood 20bags*400g","16.51","10.0","0.0","165.1","2026-09-20 09:56:28","2026-09-25 09:56:28","Blue Bay Harvest Imports Inc.","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"NWP26098298","[I05237] Xisong Pineapple Sichuan Pepper Oil 30bags*70g","27.27","8.0","0.0","218.16","2026-09-20 09:56:28","2026-09-25 09:56:28","Blue Bay Harvest Imports Inc.","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"NWP26098435","[B64128] Yuanyue Milk Candy 20bags*500g","25.09","1.0","0.0","25.09","2026-09-20 09:44:50","2026-11-16 09:44:50","Songxi Foods USA Inc","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"NWP26098435","[VHB71327] BAOCHUAN Mango Hair Care 60ml","3.82","31.0","0.0","118.42","2026-09-20 09:44:50","2026-11-16 09:44:50","Songxi Foods USA Inc","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"NWP26098435","[VPC62164] BAOCHUAN Lychee Personal Care 60ml","3.21","172.0","0.0","552.12","2026-09-20 09:44:50","2026-11-16 09:44:50","Songxi Foods USA Inc","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"NWP26098435","[G18355] MEIJIN Five Spice Soy Sauce 30bags*400g","31.0","13.0","0.0","403.0","2026-09-20 09:44:50","2026-11-16 09:44:50","Songxi Foods USA Inc","Crestline Northwest Inc","Yan Qin (Lina)","purchase",""
"CAP26098752","[B16283] Chenrui Mala Puffed/Flour Snacks 12bags*100g","33.43","22.0","0.0","735.46","2026-09-20 09:38:57","2026-11-24 09:38:57","Nanxi Orient Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098752","[FA37250] TIANJIN Chicken Dumplings 24bags*400g","61.4","1.0","0.0","61.4","2026-09-20 09:38:57","2026-11-24 09:38:57","Nanxi Orient Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098752","[B56339] Chenrui Peach Rice Crackers&Popcorn 24bags*500g","36.71","9.0","0.0","330.39","2026-09-20 09:38:57","2026-11-24 09:38:57","Nanxi Orient Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098752","[L79229] QINGXIAN Brown Sugar Wood Ear Mushroom 8bags*400g","40.27","1.0","0.0","40.27","2026-09-20 09:38:57","2026-11-24 09:38:57","Nanxi Orient Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"CAP26098752","[A79170] Tianxi Chocolate Electrolyte Drinks 15btls*330ml","15.63","4.0","0.0","62.52","2026-09-20 09:38:57","2026-11-24 09:38:57","Nanxi Orient Trading Co., LTD","Crestline Pacific Inc","Hao Lyu (Owen)","purchase",""
"ILP26098766","[VHB47257] CHENWAN Chocolate Hair 12bags*200g","3.09","9.0","0.0","27.81","2026-09-19 14:32:06","2026-11-03 14:32:06","Willow Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"ILP26098766","[VCA14282] CHENWAN Spicy Fashion Jewelry 100ml","4.32","32.0","0.0","138.24","2026-09-19 14:32:06","2026-11-03 14:32:06","Willow Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"ILP26098766","[VHK94159] CHENWAN Strawberry Household Goods 500ml","6.35","74.0","0.0","469.9","2026-09-19 14:32:06","2026-11-03 14:32:06","Willow Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"ILP26098766","[VSC77229] CHENWAN Grape Skin Care 60ml","8.12","184.0","0.0","1494.08","2026-09-19 14:32:06","2026-11-03 14:32:06","Willow Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"ILP26098766","[VBB72309] CHENWAN Pineapple Baby Products 150ml","9.75","338.0","0.0","3295.5","2026-09-19 14:32:06","2026-11-03 14:32:06","Willow Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"ILP26098766","[VHB18210] CHENWAN Sea Salt Hair 10bags*70g","12.89","85.0","0.0","1095.65","2026-09-19 14:32:06","2026-11-03 14:32:06","Willow Orient Imports Inc.","Crestline Chicago Inc","Grace Zhao","purchase",""
"CAP26098590","[D49348] FENGXI Taro Instant Rice Noodles 10bags*150g","23.95","1.0","0.0","23.95","2026-09-19 14:06:26","2026-11-23 14:06:26","Riverside Harvest Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098590","[B96137] Jiaqing Milk Rice Crackers&Popcorn 20bags*1000g","23.13","1.0","0.0","23.13","2026-09-19 14:06:26","2026-11-23 14:06:26","Riverside Harvest Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098590","[B68372] Jiaqing Peach Seasoned Vegetarian Snacks 12bags*200g","22.67","5.0","0.0","113.35","2026-09-19 14:06:26","2026-11-23 14:06:26","Riverside Harvest Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
"CAP26098590","[M42340] Jiaqing Five Spice Bread 24bags*100g","20.99","1.0","0.0","20.99","2026-09-19 14:06:26","2026-11-23 14:06:26","Riverside Harvest Imports Inc.","Crestline Pacific Inc","Lina Hua","purchase",""
