"批次/序列号码","内部参考号","产品/内部参考号","产品/名称","产品/产品类别/上级名称","产品/产品类别/中文名称","产品/CN 品牌","显示名称","在手数量","有效期","产品/批次可用","产品/预测数量","产品/打板","产品/计量单位","产品/基准成本","活动","产品/有效期","产品/销售价格","公司"
"L280200054","","FE29343","YUANCHUAN Milk Frozen Dessert | 源川 牛奶冰淇淋 6boxes*4bags*90ml","冷冻和冷藏食品","冰淇淋","源川","02-08-2028/0.0","15.0","2028-02-08","31.0","31.0","17*7=119","Case","43.273","","540","62.5","Crestline New Jersey Inc"
"L271000055","","FE18257","YUANCHUAN Peach Frozen Dessert | 源川 蜜桃冰淇淋 24boxes*4bags*72ml","冷冻和冷藏食品","冰淇淋","源川","10-24-2027/0.0","61.0","2027-10-24","181.0","181.0","15*9=135","Case","36.318","","540","52.0","Crestline New Jersey Inc"
"L261200056","","FE18257","YUANCHUAN Peach Frozen Dessert | 源川 蜜桃冰淇淋 24boxes*4bags*72ml","冷冻和冷藏食品","冰淇淋","源川","12-12-2026/0.0","60.0","2026-12-12","181.0","181.0","15*9=135","Case","36.318","","540","52.0","Crestline New Jersey Inc"
"L270900057","","FE18257","YUANCHUAN Peach Frozen Dessert | 源川 蜜桃冰淇淋 24boxes*4bags*72ml","冷冻和冷藏食品","冰淇淋","源川","09-04-2027/0.0","60.0","2027-09-04","181.0","181.0","15*9=135","Case","36.318","","540","52.0","Crestline New Jersey Inc"
"L271000058","","FE14300","YUANCHUAN Matcha Frozen Dessert | 源川 抹茶冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","10-09-2027/0.0","41.0","2027-10-09","119.0","357.0","","Case","49.141","","540","65.5","Crestline New Jersey Inc"
"L270900059","","FE14300","YUANCHUAN Matcha Frozen Dessert | 源川 抹茶冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","09-02-2027/0.0","39.0","2027-09-02","119.0","357.0","","Case","49.141","","540","65.5","Crestline New Jersey Inc"
"L280200060","","FE14300","YUANCHUAN Matcha Frozen Dessert | 源川 抹茶冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","02-02-2028/0.0","39.0","2028-02-02","119.0","357.0","","Case","49.141","","540","65.5","Crestline New Jersey Inc"
"L260100061","","FE14300","YUANCHUAN Matcha Frozen Dessert | 源川 抹茶冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","01-19-2026/0.0","0.0","2026-01-19","119.0","357.0","","Case","49.141","","540","65.5","Crestline New Jersey Inc"
"L260600062","","FE14300","YUANCHUAN Matcha Frozen Dessert | 源川 抹茶冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","源川","06-29-2026/0.0","0.0","2026-06-29","119.0","357.0","","Case","49.141","","540","65.5","Crestline New Jersey Inc"
"L261100063","","FE04114","YUANCHUAN Melon Frozen Dessert | 源川 哈密瓜冰淇淋 8boxes*4bags*90ml","冷冻和冷藏食品","冰淇淋","源川","11-06-2026/0.0","49.0","2026-11-06","49.0","76.0","","Case","42.234","已到警报日期","540","50.0","Crestline New Jersey Inc"
"L270700064","","FE60393","YUANCHUAN Brown Sugar Frozen Dessert | 源川 黑糖冰淇淋 6boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","源川","07-18-2027/0.0","13.0","2027-07-18","26.0","26.0","16*7=112","Case","33.767","","540","49.0","Crestline New Jersey Inc"
"L270600065","","FE60393","YUANCHUAN Brown Sugar Frozen Dessert | 源川 黑糖冰淇淋 6boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","源川","06-23-2027/0.0","13.0","2027-06-23","26.0","26.0","16*7=112","Case","33.767","","540","49.0","Crestline New Jersey Inc"
"L261200066","","FE83379","Chenle Chocolate Frozen Dessert | 晨乐 巧克力冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","12-31-2026/0.0","683.0","2026-12-31","1366.0","1366.0","8*13=104","Case","42.096","","540","60.0","Crestline New Jersey Inc"
"L260500067","","FE83379","Chenle Chocolate Frozen Dessert | 晨乐 巧克力冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","05-23-2026/0.0","683.0","2026-05-23","1366.0","1366.0","8*13=104","Case","42.096","已到警报日期","540","60.0","Crestline New Jersey Inc"
"2025-12-06","","FE83379","Chenle Chocolate Frozen Dessert | 晨乐 巧克力冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","12-06-2025/0.0","0.0","2025-12-06","1366.0","1366.0","8*13=104","Case","42.096","","540","60.0","Crestline New Jersey Inc"
"2026-03-12","","FE83379","Chenle Chocolate Frozen Dessert | 晨乐 巧克力冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","03-12-2026/0.0","0.0","2026-03-12","1366.0","1366.0","8*13=104","Case","42.096","","540","60.0","Crestline New Jersey Inc"
"L280100070","","FE03167","Chenle Pineapple Frozen Dessert | 晨乐 菠萝冰淇淋 8boxes*4bags*90ml","冷冻和冷藏食品","冰淇淋","晨乐","01-14-2028/0.0","15.0","2028-01-14","15.0","15.0","","Case","36.963","","540","44.5","Crestline New Jersey Inc"
"2026-04-01","","FE03167","Chenle Pineapple Frozen Dessert | 晨乐 菠萝冰淇淋 8boxes*4bags*90ml","冷冻和冷藏食品","冰淇淋","晨乐","04-01-2026/0.0","0.0","2026-04-01","15.0","15.0","","Case","36.963","","540","44.5","Crestline New Jersey Inc"
"L260800072","","FE35318","Chenle Red Bean Frozen Dessert | 晨乐 红豆冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","08-20-2026/0.0","7.0","2026-08-20","7.0","7.0","11*14=154","Case","42.631","已到警报日期","540","60.5","Crestline New Jersey Inc"
"L260300073","","FE35318","Chenle Red Bean Frozen Dessert | 晨乐 红豆冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","03-14-2026/0.0","0.0","2026-03-14","7.0","7.0","11*14=154","Case","42.631","","540","60.5","Crestline New Jersey Inc"
"L270300074","","FE60355","Chenle Osmanthus Frozen Dessert | 晨乐 桂花冰淇淋 8boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","晨乐","03-12-2027/0.0","45013.0","2027-03-12","45013.0","45013.0","","Case","31.236","","540","44.5","Crestline New Jersey Inc"
"2025-09-03","","FE60355","Chenle Osmanthus Frozen Dessert | 晨乐 桂花冰淇淋 8boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","晨乐","09-03-2025/0.0","0.0","2025-09-03","45013.0","45013.0","","Case","31.236","","540","44.5","Crestline New Jersey Inc"
"L270500076","","FE57162","Chenle Lychee Frozen Dessert | 晨乐 荔枝冰淇淋 6boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","晨乐","05-06-2027/0.0","153.0","2027-05-06","153.0","153.0","17*12=204","Case","34.524","","540","44.0","Crestline New Jersey Inc"
"L260700077","","FE12333","Chenle Taro Frozen Dessert | 晨乐 芋头冰淇淋 24boxes*4bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","07-06-2026/0.0","71.0","2026-07-06","141.0","141.0","","Case","47.94","已到警报日期","540","999.0","Crestline New Jersey Inc"
"L270300078","","FE12333","Chenle Taro Frozen Dessert | 晨乐 芋头冰淇淋 24boxes*4bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","03-17-2027/0.0","70.0","2027-03-17","141.0","141.0","","Case","47.94","","540","67.0","Crestline New Jersey Inc"
"2026-05-13","","FE12333","Chenle Taro Frozen Dessert | 晨乐 芋头冰淇淋 24boxes*4bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","05-13-2026/0.0","0.0","2026-05-13","141.0","141.0","","Case","47.94","","540","67.0","Crestline New Jersey Inc"
"L270600080","","FE72394","Chenle Melon Frozen Dessert | 晨乐 哈密瓜冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","06-08-2027/0.0","400.0","2027-06-08","400.0","516.0","11*6=66","Case","34.881","","540","50.0","Crestline New Jersey Inc"
"2026-01-02","","FE72394","Chenle Melon Frozen Dessert | 晨乐 哈密瓜冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","01-02-2026/0.0","0.0","2026-01-02","400.0","516.0","11*6=66","Case","34.881","","540","50.0","Crestline New Jersey Inc"
"L260800082","","FE72394","Chenle Melon Frozen Dessert | 晨乐 哈密瓜冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨乐","08-19-2026/0.0","0.0","2026-08-19","400.0","516.0","11*6=66","Case","34.881","","540","50.0","Crestline New Jersey Inc"
"L280100083","","FE73210","Chenle Strawberry Frozen Dessert | 晨乐 草莓冰淇淋 8boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","晨乐","01-07-2028/0.0","46.0","2028-01-07","92.0","92.0","","Case","49.587","","540","62.5","Crestline New Jersey Inc"
"L271100084","","FE73210","Chenle Strawberry Frozen Dessert | 晨乐 草莓冰淇淋 8boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","晨乐","11-04-2027/0.0","46.0","2027-11-04","92.0","92.0","","Case","49.587","","540","62.5","Crestline New Jersey Inc"
"L271100085","","FE34150","Chenle Coconut Frozen Dessert | 晨乐 椰子冰淇淋 24boxes*4bags*90ml","冷冻和冷藏食品","冰淇淋","晨乐","11-09-2027/0.0","841.0","2027-11-09","841.0","841.0","6*7=42","Case","39.008","","540","57.0","Crestline New Jersey Inc"
"L271000086","","FE33313","Chenqing Lemon Frozen Dessert | 晨青 柠檬冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨青","10-26-2027/0.0","750.0","2027-10-26","2248.0","2248.0","13*14=182","Case","45.528","","540","52.0","Crestline New Jersey Inc"
"L270600087","","FE33313","Chenqing Lemon Frozen Dessert | 晨青 柠檬冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨青","06-29-2027/0.0","749.0","2027-06-29","2248.0","2248.0","13*14=182","Case","45.528","","540","52.0","Crestline New Jersey Inc"
"L270500088","","FE33313","Chenqing Lemon Frozen Dessert | 晨青 柠檬冰淇淋 6boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨青","05-01-2027/0.0","749.0","2027-05-01","2248.0","2248.0","13*14=182","Case","45.528","","540","52.0","Crestline New Jersey Inc"
"L261100089","","FE88388","Chenqing Lychee Frozen Dessert | 晨青 荔枝冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨青","11-12-2026/0.0","177.0","2026-11-12","177.0","177.0","15*9=135","Case","26.891","已到警报日期","540","39.0","Crestline New Jersey Inc"
"2026-08-12","","FE88388","Chenqing Lychee Frozen Dessert | 晨青 荔枝冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨青","08-12-2026/0.0","0.0","2026-08-12","177.0","177.0","15*9=135","Case","26.891","","540","39.0","Crestline New Jersey Inc"
"2025-12-04","","FE88388","Chenqing Lychee Frozen Dessert | 晨青 荔枝冰淇淋 8boxes*3bags*72ml","冷冻和冷藏食品","冰淇淋","晨青","12-04-2025/0.0","0.0","2025-12-04","177.0","177.0","15*9=135","Case","26.891","","540","39.0","Crestline New Jersey Inc"
"L270100092","","FE79120","Chenqing Pineapple Frozen Dessert | 晨青 菠萝冰淇淋 6boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","晨青","01-04-2027/0.0","2998.0","2027-01-04","2998.0","2998.0","15*10=150","Case","47.802","","540","58.5","Crestline New Jersey Inc"
"L271100093","","FE16292","Chenqing Grape Frozen Dessert | 晨青 葡萄冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","晨青","11-02-2027/0.0","155.0","2027-11-02","309.0","309.0","","Case","47.882","","540","53.5","Crestline New Jersey Inc"
"L270400094","","FE16292","Chenqing Grape Frozen Dessert | 晨青 葡萄冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","晨青","04-27-2027/0.0","154.0","2027-04-27","309.0","309.0","","Case","47.882","","540","53.5","Crestline New Jersey Inc"
"L271100095","","FE08324","Chenqing Osmanthus Frozen Dessert | 晨青 桂花冰淇淋 24boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","晨青","11-06-2027/0.0","92.0","2027-11-06","92.0","92.0","","Case","41.09","","540","48.0","Crestline New Jersey Inc"
"L270300096","","FE16253","Chenqing Strawberry Frozen Dessert | 晨青 草莓冰淇淋 6boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","晨青","03-12-2027/0.0","136.0","2027-03-12","271.0","271.0","8*8=64","Case","52.787","","540","62.5","Crestline New Jersey Inc"
"L271000097","","FE16253","Chenqing Strawberry Frozen Dessert | 晨青 草莓冰淇淋 6boxes*4bags*88ml","冷冻和冷藏食品","冰淇淋","晨青","10-01-2027/0.0","135.0","2027-10-01","271.0","271.0","8*8=64","Case","52.787","","540","62.5","Crestline New Jersey Inc"
"L270300098","","FE08158","Chenqing Red Bean Frozen Dessert | 晨青 红豆冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","晨青","03-14-2027/0.0","231.0","2027-03-14","461.0","461.0","17*14=238","Case","49.871","","540","70.5","Crestline New Jersey Inc"
"L260900099","","FE08158","Chenqing Red Bean Frozen Dessert | 晨青 红豆冰淇淋 6boxes*3bags*90ml","冷冻和冷藏食品","冰淇淋","晨青","09-27-2026/0.0","230.0","2026-09-27","461.0","461.0","17*14=238","Case","49.871","已到警报日期","540","70.5","Crestline New Jersey Inc"
